axis1,axis2,class
5.5377,30.999,2
6.8339,33.309,2
2.7412,19.43,2
5.8622,29.904,2
5.3188,30.07,2
3.6923,22.133,2
4.5664,24.719,2
5.3426,30.116,2
8.5784,39.822,2
7.7694,38.293,2
3.6501,22.692,2
8.0349,39.069,2
5.7254,26.286,2
4.9369,28.552,2
5.7147,33.575,2
4.795,29.006,2
4.8759,29.076,2
6.4897,32.816,2
6.409,33.232,2
6.4172,33.365,2
5.6715,30.51,2
3.7925,22.397,2
5.7172,29.926,2
6.6302,33.416,2
5.4889,28.914,2
6.0347,33.009,2
5.7269,34.753,2
4.6966,24.743,2
5.2939,29.241,2
4.2127,22.853,2
5.8884,33.269,2
3.8529,26.323,2
3.9311,21.502,2
4.1905,28.39,2
2.0557,15.896,2
6.4384,33.41,2
5.3252,30.961,2
4.2451,25.602,2
6.3703,36.603,2
3.2885,26.574,2
4.8978,27.872,2
4.7586,23.992,2
5.3192,28.512,2
5.3129,27.689,2
4.1351,23.705,2
4.9699,26.025,2
4.8351,27.553,2
5.6277,33.69,2
6.0933,30.639,2
6.1093,31.417,2
4.1363,26.912,2
5.0774,30.282,2
3.7859,24.556,2
3.8865,25.804,2
4.9932,29.42,2
6.5326,32.731,2
4.2303,26.017,2
5.3714,28.804,2
4.7744,25.718,2
6.1174,32.963,2
3.9109,24.3,2
5.0326,27.804,2
5.5525,30.418,2
6.1006,33.49,2
6.5442,34.056,2
5.0859,28.623,2
3.5084,23.243,2
4.2577,25.487,2
3.9384,23.0,2
7.3505,37.531,2
4.3844,28.182,2
5.7481,29.733,2
4.8076,30.523,2
5.8886,30.818,2
4.2352,24.919,2
3.5977,21.604,2
3.5776,21.708,2
5.4882,28.128,2
4.8226,27.966,2
4.8039,29.962,2
6.4193,33.842,2
5.2916,30.437,2
5.1978,30.918,2
6.5877,29.412,2
4.1955,24.907,2
5.6966,31.024,2
5.8351,32.112,2
4.7563,24.983,2
5.2157,27.087,2
3.8342,25.231,2
3.852,23.789,2
5.1049,29.284,2
5.7223,28.935,2
7.5855,34.34,2
4.3331,26.928,2
5.1873,30.635,2
4.9175,30.418,2
3.067,18.694,2
4.561,24.247,2
3.2053,19.275,2
5.8404,30.872,2
4.112,23.871,2
5.1001,30.53,2
4.4555,23.681,2
5.3035,26.173,2
