axis1,axis2,class
4.5377,27.586,2
5.8339,38.043,2
1.7412,8.698,2
4.8622,30.399,2
4.3188,26.374,2
2.6923,15.657,2
3.5664,21.165,2
4.3426,30.673,2
7.5784,46.887,2
6.7694,40.242,2
2.6501,12.922,2
7.0349,43.251,2
4.7254,28.335,2
3.9369,23.304,2
4.7147,28.594,2
3.795,23.423,2
3.8759,23.745,2
5.4897,35.44,2
5.409,36.471,2
5.4172,35.669,2
4.6715,26.649,2
2.7925,12.068,2
4.7172,30.343,2
5.6302,32.411,2
4.4889,27.477,2
5.0347,31.194,2
4.7269,32.459,2
3.6966,21.799,2
4.2939,25.243,2
3.2127,18.932,2
4.8884,30.51,2
2.8529,16.194,2
2.9311,15.684,2
3.1905,16.524,2
1.0557,4.1737,2
5.4384,31.849,2
4.3252,24.648,2
3.2451,20.849,2
5.3703,32.807,2
2.2885,11.974,2
3.8978,24.686,2
3.7586,21.87,2
4.3192,27.794,2
4.3129,25.625,2
3.1351,19.598,2
3.9699,24.766,2
3.8351,22.533,2
4.6277,26.993,2
5.0933,29.931,2
5.1093,31.236,2
3.1363,17.363,2
4.0774,23.902,2
2.7859,17.143,2
2.8865,15.857,2
3.9932,25.721,2
5.5326,33.753,2
3.2303,20.193,2
4.3714,25.755,2
3.7744,22.716,2
5.1174,33.21,2
2.9109,15.845,2
4.0326,23.547,2
4.5525,30.91,2
5.1006,33.064,2
5.5442,33.987,2
4.0859,25.596,2
2.5084,13.151,2
3.2577,19.969,2
2.9384,18.864,2
6.3505,37.738,2
3.3844,21.343,2
4.7481,31.416,2
3.8076,22.746,2
4.8886,32.831,2
3.2352,18.963,2
2.5977,12.412,2
2.5776,10.795,2
4.4882,26.853,2
3.8226,23.879,2
3.8039,23.138,2
5.4193,34.433,2
4.2916,25.12,2
4.1978,25.588,2
5.5877,32.422,2
3.1955,17.274,2
4.6966,27.541,2
4.8351,30.566,2
3.7563,22.296,2
4.2157,23.702,2
2.8342,15.941,2
2.852,15.013,2
4.1049,23.693,2
4.7223,30.319,2
6.5855,42.015,2
3.3331,20.014,2
4.1873,26.659,2
3.9175,23.709,2
2.067,11.514,2
3.561,22.027,2
2.2053,13.426,2
4.8404,30.534,2
3.112,20.056,2
4.1001,24.726,2
3.4555,20.169,2
4.3035,28.724,2
3.3997,19.07,2
4.49,27.376,2
4.7394,30.524,2
5.7119,36.044,2
3.8059,24.833,2
1.8616,10.844,2
3.1604,18.658,2
5.3546,32.144,2
2.9278,17.478,2
4.961,28.493,2
4.124,25.234,2
5.4367,35.163,2
2.0391,10.799,2
3.8023,23.996,2
2.7922,18.818,2
6.908,45.494,2
4.8252,30.107,2
5.379,34.507,2
2.9418,17.356,2
3.5314,18.734,2
3.7275,21.476,2
5.0984,33.472,2
3.7221,22.015,2
4.7015,29.741,2
1.9482,8.2865,2
3.6462,21.658,2
3.1764,19.245,2
2.4229,11.013,2
4.508,28.042,2
4.282,25.665,2
4.0335,22.779,2
2.6663,14.74,2
5.1275,28.848,2
4.3502,23.126,2
3.7009,20.117,2
4.0229,22.627,2
3.738,20.379,2
2.2498,9.2561,2
3.7143,22.475,2
3.1686,15.799,2
3.0208,17.414,2
2.8436,17.238,2
3.4664,20.315,2
1.9974,10.326,2
4.9642,30.069,2
4.5201,25.296,2
3.98,23.794,2
3.9652,25.245,2
3.2018,21.18,2
5.0187,30.364,2
3.8668,20.565,2
3.2855,19.327,2
5.3514,33.906,2
3.7752,22.098,2
3.411,18.16,2
3.7062,25.103,2
3.1521,14.502,2
2.8799,15.483,2
6.526,39.386,2
5.6555,34.44,2
4.3075,26.613,2
2.7429,15.539,2
3.1345,16.93,2
3.8235,23.983,2
4.7914,30.423,2
2.668,15.81,2
1.6701,7.2659,2
2.5509,15.622,2
4.3335,27.323,2
4.3914,30.579,2
4.4517,28.761,2
3.8697,24.89,2
4.1837,25.349,2
3.5238,18.723,2
4.862,29.374,2
2.6383,13.433,2
4.455,26.268,2
3.1513,19.002,2
3.6651,20.829,2
4.5528,26.43,2
5.0391,30.537,2
2.8824,16.04,2
5.2607,33.331,2
4.6601,27.082,2
3.9321,24.022,2
3.8048,22.774,2
3.7824,24.546,2
3.6969,21.579,2
4.023,23.951,2
4.0513,22.543,2
4.8261,27.558,2
5.527,35.016,2
4.4669,26.836,2
